DISTRICT|FY04
Cardinal Local SD|6185
Chardon Local SD|5579
Kenston Local SD|5868
Ledgemont Local SD|5725
Newbury Local SD|5704
West Geauga Local SD|5709
Beavercreek City SD|6527
Cedar Cliff Local SD|12137
Greeneview Local SD|9313
Sugarcreek Local SD|11475
Rolling Hills Local SD|12127
Finneytown Local SD|9076
Forest Hills Local SD|9225
Northwest Local SD|10246
Oak Hills Local SD|7530
Southwest Local SD|7980
Three Rivers Local SD|7658
Arcadia Local SD|8039
Arlington Local SD|7993
Cory-Rawson Local SD|6939
Liberty Benton Local SD|7130
McComb Local SD|6398
Van Buren Local SD|7535
Vanlue Local SD|6440
Hardin Northern Local SD|6044
Ridgemont Local SD|10307
Riverdale Local SD|9821
Upper Scioto Valley Local SD|8232
Conotton Valley Union Local|9214
Holgate Local SD|8150
Liberty Center Local SD|10602
Patrick Henry Local SD|8901
Bright Local SD|8320
Fairfield Local SD|7348
Lynchburg-Clay Local SD|7424
East Holmes Local SD|7916
West Holmes Local SD|6729
Monroeville Local SD|5930
New London Local SD|6326
South Central Local SD|5510
Western Reserve Local SD|5404
Oak Hill Union Local SD|5452
Buckeye Local SD|4603
Edison Local SD|11130
Indian Creek Local SD|9101
Centerburg Local SD|8757
Danville Local SD|10014
East Knox Local SD|8410
Fredericktown Local SD|9408
Kirtland Local SD|8973
Madison Local SD|8353
Painsville Township Local SD|10999
Perry Local SD|6837
Dawson-Bryant Local SD|7282
Fairland Local SD|6593
Rock Hill Local SD|7474
South Point Local SD|5152
Symmes Valley Local SD|5164
Johnstown-Monroe Local SD|5593
Lakewood Local SD|5118
Licking Heights Local SD|4815
Licking Valley Local SD|4570
North Fork Local SD|4619
Northridge Local SD|9932
Southwest Licking Local SD|9536
Benjamin Logan Local SD|8540
Indian Lake Local SD|8579
Riverside Local SD|9189
Avon Local SD|9016
Avon Lake City SD|8322
Clearview Local SD|9653
Columbia Local SD|7743
Firelands Local SD|8279
Keystone Local SD|15160
Midview Local SD|6486
Anthony Wayne Local SD|5219
Ottawa Hills Local SD|5238
Springfield Local SD|5458
Washington Local SD|5235
Jefferson Local SD|4524
Jonathan Alder Local SD|4867
Madison-Plains Local SD|9561
Austintown Local SD|8713
Boardman Local SD|8165
Canfield Local SD|8526
Jackson-Milton Local SD|8107
Lowellville Local SD|8199
Poland Local SD|8160
Sebring Local SD|7818
South Range Local SD|7768
Springfield Local SD|6501
West Branch Local SD|8299
Western Reserve Local SD|7316
Elgin Local SD|6490
Pleasant Local SD|6243
Ridgedale Local SD|5252
River Valley Local SD|4852
Black River Local SD|5624
Buckeye Local SD|7351
Cloverleaf Local SD|13501
Highland Local SD|9320
Eastern Local SD|11623
Meigs Local SD|9278
Southern Local SD|8089
Marion Local SD|8073
Parkway Local SD|8368
St Henry Consolidated Local|8226
Fort Recovery Local SD|7099
Bethel Local SD|8379
Miami East Local SD|6342
Newton Local SD|6962
Switzerland Of Ohio Local SD|7438
Brookville Local SD|6451
Jefferson Township Local SD|5925
Trotwood-Madison City SD|5907
Mad River Local SD|5596
New Lebanon Local SD|4464
Northmont City SD|4498
Northridge Local SD|4464
Valley View Local SD|9039
Huber Heights City SD|7459
Morgan Local SD|9527
Cardington-Lincoln Local SD|9246
Highland Local SD|8990
Northmor Local SD|7834
East Muskingum Local SD|8205
Franklin Local SD|9114
Maysville Local SD|8180
Tri-Valley Local SD|7139
West Muskingum Local SD|7566
Noble Local SD|6256
Benton Carroll Salem Local S|6328
Danbury Local SD|6239
Genoa Area Local SD|5441
North Bass Local SD|5167
Put-In-Bay Local SD|5630
Antwerp Local SD|4804
Wayne Trace Local SD|9383
Northern Local SD|14780
Southern Local SD|11587
Logan Elm Local SD|10132
Teays Valley Local SD|8426
Westfall Local SD|8718
Eastern Local SD|11247
Scioto Valley Local SD|7984
Waverly City SD|8453
Western Local SD|8037
Aurora City SD|6916
Crestwood Local SD|6194
Field Local SD|6174
James A Garfield Local SD|5960
Rootstown Local SD|4602
Southeast Local SD|4596
Streetsboro City SD|5154
Waterloo Local SD|4347
National Trail Local SD|8519
Preble-Shawnee Local SD|9686
Twin Valley Community Local|11134
Columbus Grove Local SD|15993
Continental Local SD|8142
Jennings Local SD|10479
Kalida Local SD|4586
Leipsic Local SD|5594
Miller City-New Cleveland Lo|8839
Ottawa-Glandorf Local SD|10128
Ottoville Local SD|11654
Pandora-Gilboa Local SD|8933
Clear Fork Valley Local SD|8344
Crestview Local SD|8979
Lexington Local SD|8569
Lucas Local SD|8265
Madison Local SD|6824
Plymouth-Shiloh Local SD|8362
Ontario Local SD|7849
Adena Local SD|6527
Huntington Local SD|6116
Paint Valley Local SD|6275
Southeastern Local SD|5423
Union Scioto Local SD|4630
Zane Trace Local SD|5401
Lakota Local SD|4383
Woodmore Local SD|7593
Bloom-Vernon Local SD|8997
Clay Local SD|9246
Green Local SD|9394
Minford Local SD|7398
Northwest Local SD|8583
Valley Local SD|7424
Washington-Nile Local SD|6726
Wheelersburg Local SD|8579
Seneca East Local SD|8930
Bettsville Local SD|7084
Hopewell-Loudon Local SD|5815
New Riegel Local SD|6910
Old Fort Local SD|5596
Anna Local SD|4850
Botkins Local SD|5328
Fairlawn Local SD|4968
Fort Loramie Local SD|5058
Hardin-Houston Local SD|10149
Jackson Center Local SD|9844
Russia Local SD|8959
Canton Local SD|8176
Fairless Local SD|8508
Jackson Local SD|8037
Lake Local SD|6999
Louisville City SD|6481
Marlington Local SD|6356
Minerva Local SD|7840
Northwest Local SD|7101
Osnaburg Local SD|7605
Perry Local SD|5530
Plain Local SD|5374
Sandy Valley Local SD|5429
Tuslaw Local SD|5498
Woodridge Local SD|4919
Copley-Fairlawn City SD|4953
Coventry Local SD|9233
Manchester Local SD|8113
Green Local SD|7716
Hudson Local SD|9862
Mogadore Local SD|7092
Nordonia Hills City SD|8534
Revere Local SD|7613
Springfield Local SD|7263
Twinsburg City SD|7136
Bloomfield-Mespo Local SD|7212
Bristol Local SD|7143
Brookfield Local SD|6153
Champion Local SD|6304
Mathews Local SD|5907
Howland Local SD|6480
Joseph Badger Local SD|4877
Lakeview Local SD|5224
Liberty Local SD|4815
Lordstown Local SD|4717
Maplewood Local SD|8701
McDonald Local SD|8596
Southington Local SD|8538
La Brae Local SD|7610
Weathersfield Local SD|8854
Garaway Local SD|8271
Indian Valley Local SD|7661
Strasburg-Franklin Local SD|8227
Tuscarawas Valley Local SD|6056
Fairbanks Local SD|8943
North Union Local SD|8462
Crestview Local SD|6846
Lincolnview Local SD|6614
Vinton County Local SD|6177
Carlisle Local SD|6966
Springboro Community City SD|6260
Kings Local SD|6691
Little Miami Local SD|5775
Mason City SD|13476
Wayne Local SD|9701
Fort Frye Local SD|10257
Frontier Local SD|10708
Warren Local SD|7252
Wolf Creek Local SD|8113
Chippewa Local SD|8596
Dalton Local SD|8523
Green Local SD|7961
North Central Local SD|7036
Northwestern Local SD|6679
Southeast Local SD|6994
Triway Local SD|9753
Edgerton Local SD|5314
Edon-Northwest Local SD|5259
Millcreek-West Unity Local S|5282
North Central Local SD|4966
Stryker Local SD|4905
Eastwood Local SD|9051
Elmwood Local SD|9104
