line_00 is....
Akron City SD|13121

['Canal Winchester Local SD', '8858\n']
['Hamilton Local SD', '9675\n']
['Gahanna-Jefferson City SD', '9457\n']
['Groveport Madison Local SD', '9187\n']
['Plain Local SD', '8505\n']
['Reynoldsburg City SD', '40672\n']
['Hilliard City SD', '8367\n']
['Dublin City SD', '8556\n']
['Archbold-Area Local SD', '7898\n']
['Evergreen Local SD', '6541\n']
['Gorham Fayette Local SD', '5996\n']
['Pettisville Local SD', '5838\n']
['Pike-Delta-York Local SD', '6051\n']
['Swanton Local SD', '5816\n']
['Berkshire Local SD', '5535\n']
['Cardinal Local SD', '5357\n']
['Chardon Local SD', '7525\n']
['Kenston Local SD', '9399\n']
['Ledgemont Local SD', '10508\n']
['Newbury Local SD', '8945\n']
['West Geauga Local SD', '11288\n']
['Beavercreek City SD', '9646\n']
['Cedar Cliff Local SD', '10947\n']
['Greeneview Local SD', '8662\n']
['Sugarcreek Local SD', '9806\n']
['Rolling Hills Local SD', '10548\n']
['Finneytown Local SD', '8386\n']
['Forest Hills Local SD', '7920\n']
['Northwest Local SD', '8738\n']
['Oak Hills Local SD', '6900\n']
['Southwest Local SD', '6638\n']
['Three Rivers Local SD', '5975\n']
['Arcadia Local SD', '6133\n']
['Arlington Local SD', '6338\n']
['Cory-Rawson Local SD', '5391\n']
['Liberty Benton Local SD', '6350\n']
['McComb Local SD', '11377\n']
['Van Buren Local SD', '10972\n']
['Vanlue Local SD', '11529\n']
['Hardin Northern Local SD', '11164\n']
['Ridgemont Local SD', '11376\n']
['Riverdale Local SD', '8587\n']
['Upper Scioto Valley Local SD', '7081\n']
['Conotton Valley Union Local', '8026\n']
['Holgate Local SD', '7271\n']
['Liberty Center Local SD', '9008\n']
['Patrick Henry Local SD', '7358\n']
['Bright Local SD', '7130\n']
['Fairfield Local SD', '5823\n']
['Lynchburg-Clay Local SD', '5522\n']
['East Holmes Local SD', '5689\n']
['West Holmes Local SD', '5178\n']
['Monroeville Local SD', '4556\n']
['New London Local SD', '5636\n']
['South Central Local SD', '10910\n']
['Western Reserve Local SD', '8781\n']
['Oak Hill Union Local SD', '9724\n']
['Buckeye Local SD', '8590\n']
['Edison Local SD', '10255\n']
['Indian Creek Local SD', '7643\n']
['Centerburg Local SD', '7780\n']
['Danville Local SD', '7878\n']
['East Knox Local SD', '7418\n']
['Fredericktown Local SD', '8462\n']
['Kirtland Local SD', '7661\n']
['Madison Local SD', '6411\n']
['Painsville Township Local SD', '7722\n']
['Perry Local SD', '6295\n']
['Dawson-Bryant Local SD', '5644\n']
['Fairland Local SD', '4567\n']
['Rock Hill Local SD', '5576\n']
['South Point Local SD', '4050\n']
['Symmes Valley Local SD', '4680\n']
['Johnstown-Monroe Local SD', '9400\n']
['Lakewood Local SD', '8963\n']
['Licking Heights Local SD', '9739\n']
['Licking Valley Local SD', '8788\n']
['North Fork Local SD', '8286\n']
['Northridge Local SD', '9090\n']
['Southwest Licking Local SD', '8926\n']
['Benjamin Logan Local SD', '7377\n']
['Indian Lake Local SD', '7164\n']
['Riverside Local SD', '7809\n']
['Avon Local SD', '6320\n']
['Avon Lake City SD', '7229\n']
['Clearview Local SD', '9058\n']
['Columbia Local SD', '6486\n']
['Firelands Local SD', '6926\n']
['Keystone Local SD', '11228\n']
['Midview Local SD', '5745\n']
['Anthony Wayne Local SD', '4087\n']
['Ottawa Hills Local SD', '4523\n']
['Springfield Local SD', '11883\n']
['Washington Local SD', '8477\n']
['Jefferson Local SD', '11364\n']
['Jonathan Alder Local SD', '8026\n']
['Madison-Plains Local SD', '9154\n']
['Austintown Local SD', '8201\n']
['Boardman Local SD', '7599\n']
['Canfield Local SD', '7099\n']
['Jackson-Milton Local SD', '7542\n']
['Lowellville Local SD', '7842\n']
['Poland Local SD', '6128\n']
['Sebring Local SD', '6631\n']
['South Range Local SD', '6562\n']
['Springfield Local SD', '5449\n']
['West Branch Local SD', '6659\n']
['Western Reserve Local SD', '5542\n']
['Elgin Local SD', '5189\n']
['Pleasant Local SD', '4281\n']
['Ridgedale Local SD', '8970\n']
['River Valley Local SD', '8834\n']
['Black River Local SD', '7378\n']
['Buckeye Local SD', '7523\n']
['Cloverleaf Local SD', '13510\n']
['Highland Local SD', '8991\n']
['Eastern Local SD', '9993\n']
['Meigs Local SD', '7632\n']
['Southern Local SD', '6529\n']
['Marion Local SD', '6843\n']
['Parkway Local SD', '7782\n']
['St Henry Consolidated Local', '7367\n']
['Fort Recovery Local SD', '6315\n']
['Bethel Local SD', '6312\n']
['Miami East Local SD', '5286\n']
['Newton Local SD', '5300\n']
['Switzerland Of Ohio Local SD', '5545\n']
['Brookville Local SD', '5143\n']
['Jefferson Township Local SD', '5025\n']
['Trotwood-Madison City SD', '5025\n']
['Mad River Local SD', '9014\n']
['New Lebanon Local SD', '9023\n']
['Northmont City SD', '8919\n']
['Northridge Local SD', '7903\n']
['Valley View Local SD', '8426\n']
['Huber Heights City SD', '7628\n']
['Morgan Local SD', '8096\n']
['Cardington-Lincoln Local SD', '8347\n']
['Highland Local SD', '7000\n']
['Northmor Local SD', '7154\n']
['East Muskingum Local SD', '7003\n']
['Franklin Local SD', '7470\n']
['Maysville Local SD', '6850\n']
['Tri-Valley Local SD', '5272\n']
['West Muskingum Local SD', '5594\n']
['Noble Local SD', '5094\n']
['Benton Carroll Salem Local S', '5006\n']
['Danbury Local SD', '4527\n']
['Genoa Area Local SD', '8826\n']
['North Bass Local SD', '9457\n']
['Put-In-Bay Local SD', '9040\n']
['Antwerp Local SD', '9612\n']
['Wayne Trace Local SD', '8109\n']
['Northern Local SD', '13123\n']
['Southern Local SD', '10077\n']
['Logan Elm Local SD', '8971\n']
['Teays Valley Local SD', '7419\n']
['Westfall Local SD', '7375\n']
['Eastern Local SD', '10071\n']
['Scioto Valley Local SD', '7359\n']
['Waverly City SD', '5839\n']
['Western Local SD', '6450\n']
['Aurora City SD', '4977\n']
['Crestwood Local SD', '4764\n']
['Field Local SD', '4461\n']
['James A Garfield Local SD', '4296\n']
['Rootstown Local SD', '8657\n']
['Southeast Local SD', '9074\n']
['Streetsboro City SD', '8826\n']
['Waterloo Local SD', '8372\n']
['National Trail Local SD', '7831\n']
['Preble-Shawnee Local SD', '7793\n']
['Twin Valley Community Local', '9900\n']
['Columbus Grove Local SD', '12417\n']
['Continental Local SD', '7200\n']
['Jennings Local SD', '48745\n']
['Kalida Local SD', '28409\n']
['Leipsic Local SD', '8458\n']
['Miller City-New Cleveland Lo', '8703\n']
['Ottawa-Glandorf Local SD', '7879\n']
['Ottoville Local SD', '9566\n']
['Pandora-Gilboa Local SD', '8273\n']
['Clear Fork Valley Local SD', '7656\n']
['Crestview Local SD', '7174\n']
['Lexington Local SD', '7430\n']
['Lucas Local SD', '6185\n']
['Madison Local SD', '5680\n']
['Plymouth-Shiloh Local SD', '5958\n']
['Ontario Local SD', '6527\n']
['Adena Local SD', '5004\n']
['Huntington Local SD', '4709\n']
['Paint Valley Local SD', '4512\n']
['Southeastern Local SD', '8485\n']
['Union Scioto Local SD', '8317\n']
['Zane Trace Local SD', '8781\n']
['Lakota Local SD', '10027\n']
['Woodmore Local SD', '7834\n']
['Bloom-Vernon Local SD', '8450\n']
['Clay Local SD', '8105\n']
['Green Local SD', '7735\n']
['Minford Local SD', '6770\n']
['Northwest Local SD', '8704\n']
['Valley Local SD', '6669\n']
['Washington-Nile Local SD', '5866\n']
['Wheelersburg Local SD', '6474\n']
['Seneca East Local SD', '7948\n']
['Bettsville Local SD', '5084\n']
['Hopewell-Loudon Local SD', '4531\n']
['New Riegel Local SD', '5230\n']
['Old Fort Local SD', '4481\n']
['Anna Local SD', '8118\n']
['Botkins Local SD', '8878\n']
['Fairlawn Local SD', '8959\n']
['Fort Loramie Local SD', '7819\n']
['Hardin-Houston Local SD', '10050\n']
['Jackson Center Local SD', '8514\n']
['Russia Local SD', '7484\n']
