IRN,DISTRICT,COUNTY,FY95,FY96,FY97,FY98,FY99,FY00,FY01,FY02,FY03,FY04,FY05,FY06,FY07,FY08,FY09,FY10,FY11,FY12
044081,Winton Woods City SD,Hamilton,"5,482","5,814","6,439","6,554","6,877","7,480","7,774","8,644","9,141","9,785","10,201","10,876","11,693","11,022","11,779","12,636","13,291","12,386"
044099,Greenville City SD,Darke,"4,639","4,698","4,816","5,535","5,684","6,046","6,556","6,714","7,355","8,016","8,236","8,357","8,717","8,753","8,939","9,020","8,772","9,381"
044107,Hamilton City SD,Butler,"5,061","5,077","5,579","5,632","6,176","6,582","7,015","7,589","7,533","8,073","8,633","9,190","9,272","9,485","9,499","9,532","9,190","9,075"
044115,Heath City SD,Licking,"5,079","5,150","5,965","5,391","5,811","6,165","6,498","6,926","6,968","6,997","7,318","8,107","8,139","8,259","8,058","8,836","9,136","9,443"
044123,Hillsboro City SD,Highland,"4,363","4,621","4,935","5,755","5,867","6,732","6,636","6,727","6,950","8,285","8,094","8,403","7,827","8,796","9,113","8,887","8,692","9,100"
044131,Huron City SD,Erie,"5,740","6,380","6,751","6,208","6,742","6,839","7,970","8,934","8,672","7,565","8,133","8,747","9,605","10,619","10,821","10,674","10,971","10,734"
044149,Ironton City SD,Lawrence,"4,942","5,278","5,691","6,157","6,649","6,895","7,180","7,593","7,293","7,371","7,951","8,026","9,179","9,718","10,075","9,559","9,147","8,810"
044156,Jackson City SD,Jackson,"4,617","4,355","4,796","5,092","5,364","5,798","5,951","6,284","6,673","6,907","7,676","8,178","8,380","9,161","9,332","8,989","9,021","8,911"
044164,Kent City SD,Portage,"6,608","7,137","7,248","7,800","8,094","8,901","9,589","9,981","10,439","10,240","10,374","10,835","11,331","11,508","11,836","12,366","12,829","13,926"
044172,Kenton City SD,Hardin,"4,629","5,246","5,484","5,883","6,049","6,338","6,964","7,374","7,891","8,138","8,194","8,388","8,765","9,023","9,116","9,794","9,184","9,155"
044180,Kettering City SD,Montgomery,"5,875","6,314","6,104","6,257","6,576","6,780","7,412","8,247","8,737","9,434","10,265","10,593","10,998","11,078","11,465","12,298","12,017","12,005"
044198,Lakewood City SD,Cuyahoga,"5,990","5,909","6,188","6,403","7,053","8,553","8,350","9,670","9,867","9,816","10,499","11,146","11,913","12,181","12,714","12,632","12,269","12,261"
044206,Lancaster City SD,Fairfield,"5,846","5,514","5,726","5,696","6,486","7,018","7,967","8,092","8,352","8,796","8,972","9,528","7,938","8,658","9,205","9,611","9,081","9,625"
044214,Lebanon City SD,Warren,"4,277","4,181","4,668","4,932","5,245","5,758","6,465","7,402","6,933","7,424","7,711","7,753","7,182","7,440","7,822","8,347","8,059","7,983"
044222,Lima City SD,Allen,"5,795","5,960","5,893","6,027","6,603","6,989","7,499","8,651","9,059","9,063","9,664","9,369","10,367","10,203","10,631","11,414","12,772","11,973"
044230,Lockland City SD,Hamilton,"7,383","6,668","6,874","7,770","8,880","10,175","11,626","12,875","12,410","10,723","9,687","11,539","11,272","11,241","11,210","12,510","12,520","11,985"
044248,Logan-Hocking Local SD,Hocking,"3,998","4,149","4,514","4,723","5,142","5,576","6,015","6,546","6,589","7,269","7,696","8,024","8,354","8,333","8,783","9,384","9,469","9,738"
044255,London City SD,Madison,"4,492","4,785","5,204","5,181","5,792","5,702","6,247","6,852","7,349","7,628","8,491","8,227","8,162","9,407","10,324","11,345","10,629","8,977"
044263,Lorain City SD,Lorain,"6,664","6,335","6,569","7,083","7,463","8,622","8,435","8,555","9,034","9,988","10,317","11,109","10,844","9,850","10,410","11,790","12,340","11,840"
044271,Loveland City SD,Hamilton,"4,730","4,762","5,303","5,440","6,031","6,169","7,101","7,170","7,980","8,316","8,610","9,114","8,717","9,322","9,446","9,545","9,755","9,843"
044289,Madeira City SD,Hamilton,"6,321","6,615","6,269","6,341","7,194","7,774","7,906","8,370","8,778","9,611","10,172","10,155","10,318","10,689","10,961","11,292","11,710","11,683"
044297,Mansfield City SD,Richland,"6,056","6,578","6,766","6,818","7,121","7,912","9,196","9,209","10,322","10,563","11,326","12,427","12,535","12,655","14,160","14,406","14,717","15,593"
044305,Maple Heights City SD,Cuyahoga,"5,693","5,715","5,746","6,032","6,216","7,144","7,182","7,982","7,743","8,827","9,412","9,708","10,344","10,024","11,112","10,409","11,036","10,916"
044313,Mariemont City SD,Hamilton,"6,804","6,952","7,431","7,255","7,516","8,338","8,985","9,557","9,327","9,724","10,383","11,235","11,732","12,152","12,592","12,856","12,522","12,362"
044321,Marietta City SD,Washington,"4,505","4,631","5,216","5,260","5,354","6,288","6,662","7,072","7,589","7,497","7,589","8,116","8,617","8,371","8,534","8,067","8,562","8,837"
044339,Marion City SD,Marion,"4,471","5,045","5,312","5,757","6,252","6,681","7,199","7,451","7,645","8,239","7,898","8,381","8,629","9,167","9,467","10,114","10,778","10,677"
044347,Martins Ferry City SD,Belmont,"5,003","5,585","5,721","5,818","5,883","6,366","6,526","6,599","6,911","7,384","7,455","8,427","8,186","9,145","8,723","8,866","8,519","8,478"
044354,Massillon City SD,Stark,"5,646","6,155","5,749","6,095","6,645","7,150","7,017","7,637","8,348","9,167","9,279","9,853","10,406","10,488","10,594","10,531","11,631","10,296"
044362,Maumee City SD,Lucas,"5,872","6,305","6,585","6,794","7,388","7,766","8,311","8,784","9,327","10,047","10,116","10,022","10,116","10,594","10,649","11,156","10,626","11,232"
044370,Mayfield City SD,Cuyahoga,"8,319","7,355","7,521","7,862","8,237","9,108","9,633","10,387","10,736","11,488","11,680","12,052","12,694","12,898","13,426","13,940","14,572","14,819"
044388,Medina City SD,Medina,"6,213","6,307","6,613","6,963","7,171","7,797","7,951","8,508","9,608","9,551","9,193","9,318","9,457","9,977","10,428","10,856","9,870","9,706"
044396,Miamisburg City SD,Montgomery,"5,071","5,107","5,380","5,865","6,179","6,609","6,847","7,421","7,731","8,138","8,531","8,816","9,158","9,101","9,411","9,347","9,678","10,180"
044404,Middletown City SD,Butler,"5,607","5,196","5,779","6,185","6,514","7,127","8,165","8,514","9,116","9,440","9,879","10,689","10,690","10,807","10,858","10,845","10,844","11,013"
044412,Mount Healthy City SD,Hamilton,0,"5,924","6,013","6,020","6,729","7,281","7,844","7,938","8,363","8,917","9,616","10,014","10,283","10,553","10,341","11,054","10,818","10,533"
044420,Mount Vernon City SD,Knox,"4,543","4,480","4,576","4,893","5,330","5,773","6,140","6,533","6,822","7,156","7,747","7,946","8,391","8,737","8,843","8,993","9,044","8,942"
044438,Napoleon City SD,Henry,"5,639","5,629","5,635","5,602","5,908","6,240","7,042","7,520","7,516","7,526","7,597","7,763","8,134","8,915","9,109","10,107","10,065","10,900"
