DISTRICT|FY95|FY96|FY97|FY98|FY99|FY00|FY01|FY02|FY03|FY04|FY05|FY06|FY07|FY08|FY09|FY10|FY11|FY12|
Painsville City Local SD|5451|5526|5710|5780|6314|6501|6660|7131|7289|7765|8454|8354|8287|8383|5451|6122|6163|6302|
Parma City SD|6302|7036|7497|7592|8149|9110|9507|10214|10802|11114|11220|11940|12395|11957|11772|6901|7263|6909|
Piqua City SD|6909|7502|7620|7285|7553|8487|8910|9428|9831|9738|9445|9973|10361|10788|11241|11590|6460|6845|
Port Clinton City SD|6845|6966|7697|8983|9772|9793|9986|10104|9948|10256|10802|11477|12497|12313|12446|12217|12282|6276|
Portsmouth City SD|6276|6528|6463|6644|7104|7498|8283|8784|8729|9278|9678|10979|11055|10863|10852|10064|10365|9874|
Princeton City SD|9874|4661|5386|5470|5905|5910|6267|6754|7208|7566|7844|7774|8249|8588|9179|9392|9463|9567|
Ravenna City SD|9567|9225|7253|7603|7803|7757|7909|8604|8296|9185|8596|10161|10456|10646|11314|12109|12461|12011|
Reading Community City SD|12011|11170|10553|6251|6677|7029|7698|7242|7969|9028|9433|10069|9842|10484|11267|11727|11850|11626|
Rocky River City SD|11626|11400|11520|4648|4951|5055|5291|6595|6506|6964|7186|7211|7092|7855|8348|8918|8654|8345|
St Bernard-Elmwood Place Cit|8345|9377|9905|9613|5542|5920|6324|6898|7693|8213|8819|9388|9518|9466|10155|10793|11284|11249|
St Marys City SD|11249|10907|11417|11280|11085|5425|5735|6326|6258|6616|7145|7746|9267|8962|9406|9553|10356|10455|
Salem City SD|10455|10550|11194|11446|11517|11526|8188|8351|9174|9414|9406|9495|10351|11051|11636|12871|12645|13558|
Sandusky City SD|13558|14434|14703|14803|15922|15270|13715|5178|5273|5820|5776|6390|7487|7666|8032|8232|8622|8673|
Shaker Heights City SD|8673|9295|9295|9523|9792|10022|10004|10686|5920|6430|6314|6056|7167|7867|9528|8573|8808|9041|
Sheffield-Sheffield Lake Cit|9041|9357|9771|9754|9716|9280|9129|9112|9115|7388|7880|8117|8154|8288|8823|9068|9236|9336|
Shelby City SD|9336|10028|10782|10612|10818|11196|11928|12649|12948|12754|6361|6688|7181|7687|7950|8576|8677|9053|
Sidney City SD|9053|9950|10679|11181|12519|12224|11913|12808|12520|12365|11757|4679|4845|4972|5306|5602|6089|6488|
South Euclid-Lyndhurst City|6488|6867|6898|7255|7593|7615|8122|8349|9390|9737|10399|9575|5175|5039|5764|5985|6383|6317|
South-Western City SD|6317|6799|7725|7990|8024|8151|8953|8154|8421|8283|8784|9560|9084|5889|6297|6272|6874|7220|
Springfield City SD|7220|7853|8600|8712|9124|9491|9968|10863|11198|11488|12326|12462|13023|13071|9113|9190|9244|10151|
Steubenville City SD|10151|10824|11557|12027|12365|12924|13719|14127|15103|15151|16657|16194|17060|16756|16618|5678|5683|6139|
Stow-Munroe Falls City SD|6139|6779|7350|8156|8022|8413|8111|8270|8306|8484|8955|9054|9536|9409|10251|10952|4743|5205|
Strongsville City SD|5205|5569|5978|6499|6661|7489|7575|7943|8912|8663|7933|8080|9069|9275|8942|9346|9617|4383|
Struthers City SD|4383|4808|5078|5383|5841|5790|6244|6552|7409|8208|8671|8154|8762|8756|8962|8842|9030|8706|
Sycamore Community City SD|8706|7077|8126|8233|8940|8935|8987|9538|10965|10439|10664|10598|11067|12085|13166|12421|12986|14308|
Sylvania City SD|14308|14480|5490|5675|6008|6207|6545|6889|7326|7533|8197|8515|9140|10170|8876|9336|9627|9894|
Tallmadge City SD|9894|10397|10274|5031|5410|5662|6214|6650|7231|7984|8623|9233|9002|9510|9861|9280|9750|10083|
Tiffin City SD|10083|10490|10770|11162|5227|5304|5607|6041|6223|6557|7025|7122|7637|7939|8111|8437|9014|8777|
Toledo City SD|8777|8624|9144|9367|9224|4895|5261|5626|5942|6084|6763|7280|7521|7406|7880|8359|8698|8797|
Toronto City SD|8797|8919|9205|9343|10028|9611|5635|6031|6440|7134|7718|8417|8276|8815|8749|8679|9905|10376|
Troy City SD|10376|10388|10569|12349|11824|11563|11142|5469|5478|5675|6081|6575|6808|6752|7295|7867|8717|8192|
Upper Arlington City SD|8192|7614|7526|7225|7498|8164|8920|8864|7024|7400|7675|8438|8849|9405|10256|11360|12475|13131|
Urbana City SD|13131|12688|12637|13025|13159|13522|14733|14750|14398|5438|5924|6125|6791|6965|7284|8009|9249|9447|
Vandalia-Butler City SD|9447|9043|8980|9400|9647|10537|11203|13036|11574|10660|5418|5512|5877|6268|6535|7207|7092|7218|
Van Wert City SD|7218|7692|8275|8781|9104|9652|9656|9762|9736|9830|10328|4670|4754|4995|5482|6006|6421|6573|
Wadsworth City SD|6573|6541|6771|7137|7325|7683|8119|7890|7883|8423|8020|7556|6098|5987|6222|6620|7236|8210|
Wapakoneta City SD|8210|7860|8726|9980|10279|10604|11202|11320|11979|13269|13543|13859|12470|4756|4921|5196|5278|5518|
Warren City SD|5518|6174|6688|7148|6912|7316|7804|8520|9020|8937|9279|10553|9747|9924|5125|5265|5762|5974|
Warrensville Heights City SD|5974|6035|5958|6610|7215|7521|7634|8030|8441|8998|9373|9125|9202|9467|9411|7163|7903|8252|
Washington Court House City|8252|9293|9096|9777|9936|10750|10647|10936|11359|11973|12863|13907|14677|14840|15172|15157|4414|5225|
Wellston City SD|5225|5480|5941|6350|6497|6592|7112|7330|8091|8551|8801|9166|9440|9696|10176|10842|10804|5659|
Wellsville Local SD|5659|5633|6149|6437|6793|6995|7550|7641|8183|8311|8792|9257|9881|10801|10764|11441|11928|12126|
Westerville City SD|12126|4306|4605|5222|5261|5468|6088|6469|6845|7074|7526|8047|8600|9717|9281|8896|9039|9722|
West Carrollton City SD|9722|10064|5247|5287|5749|6352|6515|6834|7143|6991|6726|7149|7043|7706|7960|8453|8742|8786|
Westlake City SD|8786|8411|8064|3992|4308|4904|5047|5584|5857|6007|6786|6650|6927|6917|7433|7670|7885|8124|
