DISTRICT|FY95|FY96|FY97|FY98|FY99|FY00|FY01|FY02|FY03|FY04|FY05|FY06|FY07|FY08|FY09|FY10|FY11|FY12|
Pleasant Local SD|9506|10055|10100|10517|11085|4281|4549|4453|4867|6243|6259|6598|6814|7026|6808|7202|7462|7988|
Ridgedale Local SD|7988|8789|9043|9166|9761|8970|4583|4806|5006|5252|5393|6030|5860|6192|6875|6914|7044|6964|
River Valley Local SD|6964|7138|7198|7509|8279|8834|8659|4478|4835|4852|5128|4998|6409|6099|6479|7117|6680|7052|
Black River Local SD|7052|7689|7396|7268|7369|7378|7888|8279|5385|5624|5905|6426|6548|6934|7562|7412|7227|7426|
Buckeye Local SD|7426|7923|8169|8292|7989|7523|7786|8259|8960|7351|8002|8463|8973|10001|8831|9521|10020|9796|
Cloverleaf Local SD|9796|10650|11504|11639|13343|13510|14323|14530|14266|13501|5355|5783|6514|6303|7041|7471|7914|8610|
Highland Local SD|8610|8445|8547|8977|8912|8991|9509|9752|9620|9320|9118|5767|5958|6266|6817|7302|7795|7762|
Eastern Local SD|7762|8813|9104|8982|9682|9993|10319|10993|11316|11623|11584|11225|3941|4336|4955|5335|6920|6029|
Meigs Local SD|6029|6693|6707|6854|7344|7632|7517|8216|8464|9278|9231|9651|9344|4308|4579|4684|4879|5537|
Southern Local SD|5537|5311|5925|6374|6558|6529|6579|7652|7511|8089|7402|8212|8360|8429|4321|4499|4802|5189|
Marion Local SD|5189|5429|5791|6357|6612|6843|7721|7279|7937|8073|8871|9141|10048|10103|10658|5008|5384|5426|
Parkway Local SD|5426|6130|6336|6818|7163|7782|8071|8076|8316|8368|8503|8575|8349|8263|8240|7802|5372|5627|
St Henry Consolidated Local|5627|5619|6184|6646|7020|7367|7668|7634|7899|8226|8406|8529|8861|8532|8740|8662|8135|4739|
Fort Recovery Local SD|4739|4986|5288|5336|5720|6315|6475|7041|6818|7099|7397|7878|7878|8105|8307|8747|8905|8764|
Bethel Local SD|8764|5471|5618|5849|5907|6312|6975|7407|8140|8379|8377|8676|8584|8965|9361|8555|9485|9536|
Miami East Local SD|9536|9152|4793|4844|4957|5286|5876|6706|6536|6342|6410|6705|6392|7110|7336|7108|7660|8062|
Newton Local SD|8062|8363|4573|4738|4965|5300|5563|6165|6550|6962|6869|6831|7322|8157|8127|8401|8304|8874|
Switzerland Of Ohio Local SD|8874|9325|8633|5226|5238|5545|6055|6174|6965|7438|7943|7992|8212|8369|8284|8305|8879|9388|
Brookville Local SD|9388|9484|10215|9834|4830|5143|5597|5907|5956|6451|7136|7229|7154|7601|7926|9478|8594|8955|
Jefferson Township Local SD|8955|9140|9964|9180|4961|5025|5345|5488|5387|5925|6709|7088|7604|7519|7396|7615|7729|8174|
Trotwood-Madison City SD|8174|8203|8584|9132|9122|5025|5233|5279|5622|5907|5779|6501|6615|6733|7337|7537|7421|7664|
Mad River Local SD|7664|7686|7466|7774|8625|9014|4523|5039|4894|5596|5656|6111|6324|6737|6952|7288|7391|7416|
New Lebanon Local SD|7416|7506|7831|8194|8741|9023|9491|4482|4799|4464|4888|5219|5606|6206|6259|6791|7720|7837|
Northmont City SD|7837|7796|8733|8934|8745|8919|9596|9616|4666|4498|4556|4938|5165|5440|5444|5748|5856|6260|
Northridge Local SD|6260|6627|6584|6947|7744|7903|8229|8154|8148|4464|4689|4999|5379|11898|12765|6932|7700|7529|
Valley View Local SD|7529|8007|7379|7236|7728|8426|8705|9111|9058|9039|4916|5019|5343|5635|6196|6683|7004|7356|
Huber Heights City SD|7356|7228|6718|7319|7355|7628|7562|7799|7755|7459|7246|5332|4253|5932|5730|5982|5996|6200|
Morgan Local SD|6200|6311|6858|7742|7932|8096|8080|9035|9379|9527|8714|9126|4964|5347|5558|5753|5913|6879|
Cardington-Lincoln Local SD|6879|7393|8199|8255|8703|8347|7742|8200|8454|9246|8953|8627|8406|4499|4201|4952|5277|5700|
Highland Local SD|5700|6249|6370|7088|7073|7000|7228|7486|7905|8990|9163|9816|9959|9865|5508|5533|5917|6185|
Northmor Local SD|6185|6174|6940|6588|6971|7154|7315|8122|7907|7834|7779|8523|8681|8449|8336|4761|4598|5073|
East Muskingum Local SD|5073|4911|5764|5880|6274|7003|7356|7446|7792|8205|8020|8015|8624|8670|9111|5573|4571|4914|
Franklin Local SD|4914|5351|5411|6017|6644|7470|7669|8337|8746|9114|9630|9639|10796|10202|10702|11088|11648|5500|
Maysville Local SD|5500|5033|5137|5498|6227|6850|7283|7766|8551|8180|8310|8580|8576|9001|9921|11425|11043|11042|
Tri-Valley Local SD|11042|4461|4643|4872|5231|5272|5866|6368|6854|7139|7116|7435|7815|8328|8371|8652|9022|9143|
West Muskingum Local SD|9143|9494|4653|4929|5018|5594|6254|6306|6848|7566|7677|7656|7462|7652|8474|9189|9540|9991|
Noble Local SD|9991|10141|10196|4282|4597|5094|5350|5417|5754|6256|6715|6814|6970|6412|7356|7626|8436|9216|
Benton Carroll Salem Local S|9216|9752|9892|9667|4717|5006|5338|5765|6522|6328|7407|7200|7082|7387|7934|7884|8425|9033|
Danbury Local SD|9033|9745|9456|9421|10212|4527|4750|5316|5467|6239|5799|6150|6357|6453|6467|6891|7398|7934|
Genoa Area Local SD|7934|8536|8920|9088|9265|8826|4605|4702|4690|5441|5595|5782|6432|6825|6860|7078|7619|7519|
North Bass Local SD|7519|7843|8733|9126|9169|9457|9835|4216|4586|5167|5602|6073|6257|6873|7302|6717|7165|7690|
Put-In-Bay Local SD|7690|8538|9025|8662|8487|9040|9829|9365|5447|5630|6188|6081|6192|6620|6996|7495|8009|8329|
Antwerp Local SD|8329|8898|9233|9077|9157|9612|10557|1548|3465|4804|4884|5422|6125|6044|6443|6475|6910|7088|
Wayne Trace Local SD|7088|7405|8097|8579|8274|8109|8351|8752|9380|9383|7252|7796|7425|8255|8094|10135|11226|10992|
Northern Local SD|10992|10481|9887|10764|10793|13123|13948|13596|13705|14780|14569|5020|5148|5372|6126|6772|8130|7958|
Southern Local SD|7958|7781|8465|9221|10136|10077|11411|10849|10823|11587|11305|11156|5650|5631|5912|5919|6213|6598|
Logan Elm Local SD|6598|7127|7966|8018|8752|8971|9603|9376|10280|10132|10989|11846|11074|4550|4404|4527|5137|6294|
Teays Valley Local SD|6294|6415|6694|7745|7417|7419|7289|7756|8266|8426|8771|9716|9877|10068|4875|5121|5453|5629|
Westfall Local SD|5629|5666|6178|6661|7100|7375|7406|7847|8404|8718|8992|9862|9850|10008|9847|5938|6458|6844|
Eastern Local SD|6844|7367|7710|8509|9300|10071|10004|10630|10891|11247|12254|12105|11428|11493|12433|11443|4695|5071|
Scioto Valley Local SD|5071|5408|5800|6257|6583|7359|7621|7440|8228|7984|8151|8684|9087|9790|10274|10832|10774|4738|
Waverly City SD|4738|4881|5196|5550|5902|5839|6710|7256|7774|8453|8983|8895|9540|10126|10897|10767|11244|10936|
Western Local SD|10936|5359|4982|6476|5663|6450|7017|12765|8229|8037|8479|9351|9286|9292|9698|9745|9838|10025|
Aurora City SD|10025|10035|4034|4639|4912|4977|5418|6224|6254|6916|7118|7260|7792|8345|8338|9109|9669|9477|
Crestwood Local SD|9477|9004|10055|4248|4583|4764|5208|5600|5952|6194|7389|7006|7525|8007|8045|8047|8155|8802|
Field Local SD|8802|8786|8631|8814|4428|4461|4820|5143|5646|6174|6950|7238|7418|7635|7663|8011|8114|8801|
James A Garfield Local SD|8801|9317|9741|10105|10127|4296|4475|5027|5129|5960|5732|6130|6652|6846|7659|7576|8164|7927|
Rootstown Local SD|7927|8064|8197|8427|8532|8657|4073|4201|4510|4602|5388|5911|6029|6380|6751|7298|7409|7533|
Southeast Local SD|7533|7818|8230|8316|8795|9074|9750|4203|4565|4596|5168|5836|6017|6280|6440|7047|7187|7544|
Streetsboro City SD|7544|7640|7947|8470|9023|8826|9092|9603|3718|5154|4704|4724|4981|5420|5633|5924|6176|6853|
Waterloo Local SD|6853|7205|7456|7600|8282|8372|8556|8383|8557|4347|4987|4955|4959|5567|6054|6309|6491|6680|
National Trail Local SD|6680|7189|7436|7356|7370|7831|8457|8490|8755|8519|4244|4452|4885|5403|5399|5948|6168|6682|
Preble-Shawnee Local SD|6682|7106|7461|7803|7722|7793|8053|8241|9034|9686|10576|7195|7767|8405|8376|8612|8723|8456|
Twin Valley Community Local|8456|8555|8765|8905|9374|9900|10194|10945|10736|11134|10803|11435|6495|6767|7205|7111|8178|8837|
Columbus Grove Local SD|8837|9507|10682|11150|11919|12417|12028|13849|14511|15993|16147|16898|15782|4825|4646|4948|5244|5755|
Continental Local SD|5755|6575|9214|7775|7277|7200|6975|7933|7896|8142|8169|7995|7580|7547|13581|15829|23145|20642|
Jennings Local SD|20642|36772|65819|12213|70415|48745|89826|11530|12002|10479|9960|12599|12357|14399|15786|17679|21113|23090|
Kalida Local SD|23090|25749|28455|28593|29337|28409|28926|31852|4482|4586|4754|5760|6262|6229|6806|7084|7461|8042|
Leipsic Local SD|8042|8381|8126|8073|8295|8458|7632|9195|9326|5594|5298|5897|6283|6540|6531|6944|7306|7039|
Miller City-New Cleveland Lo|7039|7101|7578|7691|8361|8703|8985|8494|8694|8839|4680|4369|4456|4958|5078|5675|5650|6230|
Ottawa-Glandorf Local SD|6230|6120|6627|7019|7780|7879|8407|9059|9284|10128|10455|4317|5027|5202|5641|6002|6656|6344|
Ottoville Local SD|6344|6889|7514|8421|8971|9566|9669|10712|11631|11654|12196|13546|4629|4729|5028|5537|6012|6388|
Pandora-Gilboa Local SD|6388|6730|6736|7684|8332|8273|7577|8295|8307|8933|9291|9958|9415|4178|4284|4575|4689|5003|
Clear Fork Valley Local SD|5003|5635|6030|6523|7429|7656|8210|7943|8037|8344|8695|9263|9607|9273|4457|4432|5012|5259|
Crestview Local SD|5259|5345|5917|6583|6783|7174|7419|7335|7497|8979|8445|8350|7899|8042|8537|4480|4932|5217|
Lexington Local SD|5217|5214|5727|6162|6957|7430|8022|8114|8195|8569|8550|9093|9580|9221|9624|9557|4180|4595|
Lucas Local SD|4595|4978|4958|5119|5586|6185|7189|7520|7826|8265|9185|9722|9171|9150|9555|9521|9863|4474|
Madison Local SD|4474|4548|4888|4933|5190|5680|6208|6471|6540|6824|7814|7499|7897|8069|8392|8949|9154|8653|
Plymouth-Shiloh Local SD|8653|4340|4892|5116|5412|5958|5817|6909|7474|8362|8217|9145|9067|9460|10702|10781|12030|11328|
Ontario Local SD|11328|11462|5985|6191|6317|6527|7189|7486|7440|7849|7919|8091|9253|9411|9113|9759|9734|10438|
Adena Local SD|10438|10945|11026|4457|4716|5004|5248|5400|6233|6527|6666|7235|7370|8495|7879|8057|9025|9219|
Huntington Local SD|9219|9782|10228|10426|4516|4709|4999|5239|5648|6116|6470|6971|7231|7083|7374|7469|7737|7899|
Paint Valley Local SD|7899|7900|7772|8254|7594|4512|4734|5126|5415|6275|5748|6118|6310|7001|6976|7000|7115|7437|
Southeastern Local SD|7437|7547|7386|7696|8084|8485|4897|4924|5180|5423|5729|5993|6397|6686|7085|7527|7523|7306|
Union Scioto Local SD|7306|7640|7843|7973|7849|8317|8236|4746|4285|4630|5154|5445|6211|6418|6868|7089|7186|7740|
Zane Trace Local SD|7740|7913|7896|7950|8401|8781|8748|9168|5428|5401|5511|5637|6409|6858|7667|7983|7659|8265|
Lakota Local SD|8265|9198|9279|9895|9544|10027|9685|9745|10108|4383|4623|4867|5269|5531|5809|6181|6232|6757|
Woodmore Local SD|6757|7675|7512|7414|8029|7834|8296|8550|8239|7593|5006|5175|5701|5974|6174|7058|6895|8055|
Bloom-Vernon Local SD|8055|7598|7918|7981|7940|8450|8746|9084|9002|8997|9215|4530|5016|5365|5692|6335|6221|6651|
Clay Local SD|6651|6937|7329|8070|7825|8105|7725|8423|9820|9246|9938|9636|4679|4383|5037|5427|6001|6347|
Green Local SD|6347|6083|7022|6959|7370|7735|9224|8242|9096|9394|9842|10046|10154|3944|4291|4611|5125|5547|
Minford Local SD|5547|5712|5937|6528|6518|6770|6306|6677|6876|7398|7489|7823|8016|8145|4685|5016|5087|5574|
Northwest Local SD|5574|5886|6288|8317|9095|8704|8351|7856|8401|8583|8973|9114|9255|10115|10769|3990|4403|4460|
Valley Local SD|4460|5460|5764|5822|6460|6669|6351|7760|6925|7424|7945|8397|8578|8934|9415|8925|3960|4317|
Washington-Nile Local SD|4317|4777|4891|5703|6084|5866|6666|6118|6485|6726|7563|7880|8011|8601|9238|9055|8928|4809|
Wheelersburg Local SD|4809|5072|5429|5513|6334|6474|6946|7840|7970|8579|8047|8474|8775|8698|9243|9510|9346|9529|
Seneca East Local SD|9529|5066|5435|6042|5930|7948|6881|7298|7386|8930|8185|7657|8011|8241|9856|8951|9063|9411|
Bettsville Local SD|9411|9506|4064|4633|4887|5084|5639|6396|6488|7084|6961|7060|7570|7616|8087|8525|8753|8915|
Hopewell-Loudon Local SD|8915|8995|9110|4453|4544|4531|4623|5083|5662|5815|6321|6251|7562|7099|7289|7598|8142|8164|
New Riegel Local SD|8164|8539|8888|9380|4890|5230|5835|6350|6422|6910|7089|7603|7924|8687|8060|8186|8309|8327|
Old Fort Local SD|8327|9477|10082|10214|11052|4481|4854|4993|5236|5596|5870|5919|6318|6731|6980|6556|7188|7371|
Anna Local SD|7371|7637|7854|7958|8021|8118|4205|4705|5035|4850|5153|5706|6254|6561|7006|6841|7553|8048|
Botkins Local SD|8048|7847|8133|8414|8359|8878|9348|4393|4671|5328|5393|5765|5800|6050|6554|6749|7132|7780|
Fairlawn Local SD|7780|7985|7798|8261|8970|8959|9151|8744|4749|4968|5124|5485|5748|6210|6963|7446|7925|7827|
Fort Loramie Local SD|7827|7299|7754|7301|8281|7819|8754|9087|9361|5058|5163|5429|6086|6677|7529|8112|8375|8823|
Hardin-Houston Local SD|8823|9086|9214|9443|10217|10050|10558|10380|10813|10149|5131|5166|5699|5651|5943|6639|7134|7743|
Jackson Center Local SD|7743|8305|8651|8292|8340|8514|9068|9491|10258|9844|10427|5102|5308|5478|5816|6180|6500|6736|
Russia Local SD|6736|7068|7048|7247|7664|7484|8491|8757|9149|8959|9090|8586|4150|4647|4938|4872|5235|5365|
Canton Local SD|5365|5671|6717|6908|7229|7601|7281|8117|8407|8176|8692|8732|8739|4217|4615|4804|4827|5401|
Fairless Local SD|5401|5858|6160|6428|7159|7449|8169|8080|9065|8508|9110|9433|9799|9553|4428|4674|5462|5115|
Jackson Local SD|5115|5329|5819|6139|7010|7212|7278|7608|8130|8037|8037|8281|9148|9856|9854|4332|4476|4759|
Lake Local SD|4759|4694|4703|5207|6076|6250|7176|7701|7406|6999|7129|7056|7277|7799|8150|7427|3524|4686|
Louisville City SD|4686|4611|5377|5158|5427|5719|6000|6789|6229|6481|6663|7285|7197|7187|7472|7919|7721|3967|
Marlington Local SD|3967|4240|4399|4539|5070|5593|5538|5748|5880|6356|6412|6728|7390|7878|8124|8565|8164|8259|
Minerva Local SD|8259|5107|5051|5413|5336|5858|6066|6674|7233|7840|8006|8945|9701|9907|10407|10034|9610|9680|
Northwest Local SD|9680|10489|4839|5317|5118|5263|5814|6518|6858|7101|6909|7836|8028|7821|8175|8220|8745|8101|
Osnaburg Local SD|8101|9391|9077|4518|4824|5478|5907|5845|6927|7605|7433|7631|7795|8235|8669|9058|9130|9668|
Perry Local SD|9668|9238|9788|9557|4674|4852|5077|5231|5682|5530|5814|6427|6398|7120|7114|7639|8125|8261|
Plain Local SD|8261|8870|9536|8612|8982|4467|4821|5237|5102|5374|6321|6567|7225|7240|7679|8014|8552|9260|
Sandy Valley Local SD|9260|10196|9458|9455|9498|10163|4493|4403|4822|5429|5270|5641|6340|6884|7570|7592|7655|8305|
Tuslaw Local SD|8305|8424|8084|8700|8538|8570|8435|5082|5170|5498|5728|6057|6397|6895|7290|7590|8299|7955|
Woodridge Local SD|7955|8193|8584|9297|9783|10077|10108|10223|4536|4919|5331|5740|6165|6584|6887|7177|7634|7765|
Copley-Fairlawn City SD|7765|8392|8514|9408|9128|10006|9847|10109|9858|4953|5015|5223|5319|6261|6404|6592|6656|7458|
Coventry Local SD|7458|7727|7485|7645|8362|8629|9143|9311|9580|9233|4530|4420|4941|5047|5414|5693|6387|6229|
Manchester Local SD|6229|6473|6767|6980|7174|7983|7514|8662|7884|8113|8343|2099|4479|4754|4817|5125|5783|6132|
Green Local SD|6132|6940|6742|6995|6664|7380|6996|7952|7810|7716|8472|8909|4443|5491|5080|5248|5082|5447|
Hudson Local SD|5447|5600|7009|7695|7904|9228|9909|10101|10743|9862|10178|12019|13851|4381|4433|4572|4655|5081|
Mogadore Local SD|5081|5628|6351|6401|6376|6710|6892|7060|7134|7092|7582|8103|7796|7734|5035|4847|5036|5263|
Nordonia Hills City SD|5263|5662|5372|5969|6453|6829|7308|7843|8223|8534|8591|8877|9164|9344|9677|4896|5050|5204|
Revere Local SD|5204|5214|5933|6084|6617|7046|6508|6413|6608|7613|8021|9125|9239|9941|9073|9355|5179|5388|
Springfield Local SD|5388|5404|5891|6153|6198|6033|7011|6887|7135|7263|8014|7803|8312|8584|8703|8569|8559|3848|
Twinsburg City SD|3848|4224|4587|4797|5208|5864|6108|6693|6735|7136|7493|8323|8659|9067|9029|8986|8294|8870|
Bloomfield-Mespo Local SD|8870|4169|4540|4997|5288|5952|6164|7205|7253|7212|7331|7533|7734|7618|8039|7878|8091|8248|
Bristol Local SD|8248|8592|4290|4551|5001|5388|6191|6000|6436|7143|7088|7642|7935|7171|8048|8131|9066|8646|
Brookfield Local SD|8646|9024|8389|4109|4374|5171|5470|5396|5466|6153|6624|6951|6881|7411|7886|7696|8471|8663|
Champion Local SD|8663|8507|8514|7768|4756|4958|4995|5672|6038|6304|6736|7082|8250|9047|8779|8512|8854|9244|
Mathews Local SD|9244|8993|9103|9014|4695|5024|5315|5283|5735|5907|6084|6840|7325|7732|7283|7714|7651|8228|
Howland Local SD|8228|8612|8484|8735|8717|6497|6212|6023|6221|6480|7125|7537|7558|8189|8850|8825|9042|9686|
Joseph Badger Local SD|9686|10523|11615|11745|11309|11403|4215|4397|4572|4877|4973|5606|6155|6514|6912|7430|7707|8059|
Lakeview Local SD|8059|8759|9552|8310|8711|8938|9115|5029|5220|5224|5746|6023|6439|6671|7265|7496|7542|7937|
Liberty Local SD|7937|8193|8282|8623|8713|8899|8489|8566|4674|4815|4934|5371|5532|5746|5939|6260|6412|7184|
Lordstown Local SD|7184|7451|7136|7993|8688|8546|9125|8771|8824|4717|4759|4852|5153|5673|5646|6163|6191|6452|
Maplewood Local SD|6452|6154|7275|7348|7503|7697|7704|7818|8453|8701|4735|4976|5003|5318|5487|5907|6978|6872|
McDonald Local SD|6872|6978|7656|8091|7774|8933|9013|8333|8620|8596|9897|4420|4732|4988|5152|5731|6187|6374|
Southington Local SD|6374|6771|6789|6665|7261|7165|7856|8057|8358|8538|8284|7566|4646|4720|4690|4886|5253|5716|
La Brae Local SD|5716|6069|6464|6682|6735|7361|7950|8147|8228|7610|8109|7967|7959|4600|4948|4562|4787|5224|
Weathersfield Local SD|5224|5567|6620|6820|6824|7046|7918|8115|8708|8854|8735|9181|9568|9361|5058|5604|5530|5920|
Garaway Local SD|5920|6042|6343|6441|6667|6858|7308|7818|7941|8271|8746|8999|9196|9703|8991|4596|4731|5037|
Indian Valley Local SD|5037|5426|5623|6003|6422|6559|6985|7223|7442|7661|7911|8065|8070|8612|8779|8848|4660|4764|
Strasburg-Franklin Local SD|4764|4986|5054|5903|5757|6453|6502|6896|7631|8227|8867|9024|8733|8603|9523|9013|9422|4761|
Tuscarawas Valley Local SD|4761|4507|4882|5002|5091|5538|5870|6205|6010|6056|6307|7049|7109|7260|7199|7427|7426|7809|
Fairbanks Local SD|7809|7972|8355|8638|8340|7458|7173|7941|8594|8943|9460|9806|9643|10290|10726|11258|12192|11571|
North Union Local SD|11571|11196|6059|6750|7076|6932|7123|7457|8238|8462|8417|8381|8533|8811|8930|9281|9478|9928|
Crestview Local SD|9928|10142|10329|4279|5290|5407|5953|5723|6264|6846|6669|6907|7165|7772|8339|8567|8904|8892|
Lincolnview Local SD|8892|8913|9522|8836|4945|5179|5651|5822|6406|6614|6991|7169|7047|7158|7381|7492|8138|8242|
Vinton County Local SD|8242|8570|8421|8663|9156|4809|4948|5380|5767|6177|6336|6872|7205|7500|7960|8219|8448|8982|
Carlisle Local SD|8982|8795|9399|9062|9259|9456|5777|6048|6399|6966|7427|7928|8548|8873|9214|9670|9978|10609|
Springboro Community City SD|10609|11109|11880|12740|13710|13671|13211|6057|6209|6260|6248|6640|7428|7705|7754|7857|8754|9142|
Kings Local SD|9142|9272|8704|9462|9663|10329|10452|10108|6343|6691|6690|6843|7094|7505|7962|8237|8477|8420|
Little Miami Local SD|8420|8697|9035|9468|10150|10201|10762|10385|10323|5775|6276|6305|6499|6920|7560|7795|7868|8666|
Mason City SD|8666|9428|9876|10062|10484|11087|11134|12812|11515|13476|5073|5521|5840|6123|6701|7024|7242|7501|
Wayne Local SD|7501|7772|8688|9116|9721|10045|10148|10201|10040|9701|9750|5951|6092|6556|6485|6809|7793|7995|
Fort Frye Local SD|7995|8173|8684|8815|8377|8946|8927|9120|9704|10257|10450|9953|6001|5261|5755|6370|7816|6805|
Frontier Local SD|6805|7538|8166|8444|9149|8767|9410|10301|11213|10708|12441|13824|12723|4504|4551|5043|5400|5823|
Warren Local SD|5823|5754|6955|7387|7173|7162|6147|6348|6919|7252|7267|7500|8123|8558|4511|4784|5420|5807|
Wolf Creek Local SD|5807|6517|6132|7039|7609|7361|7548|8009|8162|8113|8055|8183|8406|8505|8757|4909|5356|5329|
Chippewa Local SD|5329|5807|6175|6315|6988|7468|7958|8340|9181|8596|8615|9089|9281|9377|9325|9771|5218|5290|
Dalton Local SD|5290|5241|5540|5595|6531|7815|8847|8169|8529|8523|8919|9240|9485|10018|10126|9971|10401|5103|
Green Local SD|5103|5225|5366|5740|6096|6686|7084|7450|7522|7961|8863|9215|9836|9964|9838|10081|10155|9600|
North Central Local SD|9600|4465|4518|5039|5186|5046|5598|6036|6703|7036|6976|7431|7952|7520|7757|8187|8255|8469|
Northwestern Local SD|8469|8267|4417|4941|5015|5218|5613|5647|6301|6679|6813|7043|6995|7475|8273|8158|7921|7759|
Southeast Local SD|7759|8127|8442|4556|5021|5548|5961|5861|6245|6994|7736|7899|7329|7756|8039|9428|10413|10918|
Triway Local SD|10918|11703|12003|12868|7002|7186|8413|8782|9232|9753|11172|10056|11188|11550|11952|11785|12591|12112|
Edgerton Local SD|12112|14509|13463|11409|11885|4273|4558|4659|4926|5314|5816|6179|6874|8108|7941|7734|7439|7910|
Edon-Northwest Local SD|7910|8289|8616|9033|9456|9850|4358|4716|5119|5259|6060|5464|6126|6663|6753|6516|6580|6458|
Millcreek-West Unity Local S|6458|6930|7409|7144|7758|5060|5508|4403|5122|5282|6337|5656|6135|6209|6575|6212|6322|6287|
North Central Local SD|6287|7057|6974|7181|6984|6970|7485|8079|4743|4966|5198|5878|6265|7024|7370|7592|8024|8476|
Stryker Local SD|8476|8193|8226|8300|9007|9084|8304|8523|8657|4905|4914|5263|5721|6317|6490|7379|8108|8187|
Eastwood Local SD|8187|8075|7646|8416|8827|9346|9079|9295|8925|9051|4443|4510|4862|4946|5624|6060|7339|7314|
Elmwood Local SD|7314|7719|7428|7319|8068|8693|8722|8720|8966|9104|9552|4642|5094|4954|5199|5199|5637|5988|
Lake Local SD|5988|6525|6640|7168|7580|7371|7429|8469|7972|7782|7980|8294|4300|4708|4695|4964|5236|5671|
North Baltimore Local SD|5671|5767|6172|6296|6351|6826|7246|7387|7333|7778|8241|8262|8674|4165|4398|4559|4654|5101|
Northwood Local SD|5101|5509|6115|6716|6876|6926|7170|7871|7873|7336|7582|7774|7947|8220|5125|5289|5828|6253|
Otsego Local SD|6253|5994|6958|7953|7585|7746|7859|8444|8653|9590|9735|9444|10193|10857|9754|5283|5099|5271|
Mohawk Local SD|5271|5355|5873|6613|6756|7018|7582|7366|7915|8196|8090|9036|9702|10128|9973|10984|4201|4236|
Ohio Valley Local SD|4236|4580|4963|5502|5780|5971|6246|6693|7125|7083|7684|8324|8945|8834|8817|9342|10067|5294|
College Corner Local SD|5294|5240|5130|5566|6098|6745|7017|7057|7149|7351|7890|8128|8384|8751|9430|9562|9553|8909|
Gallia County Local SD|8909|4204|4539|5396|5014|5625|5788|6658|6793|7978|8489|9062|9286|9374|9579|10187|11115|10907|
East Guernsey Local SD|10907|10775|5425|5412|5757|6607|6234|6489|7210|7823|8857|8208|7782|8841|8940|9038|8970|9156|
Tri-County North Local SD|9156|9817|9865|4435|4722|5103|5130|5281|5326|6111|6231|7162|6691|7233|7268|8105|8680|8435|
Monroe Local SD|8435|8018|7928|7812|4621|5476|5839|5905|6473|7009|7395|7924|8178|8236|8378|9072|9829|9721|
